PRIMARY_COM_NAME;SCI_NAME
Mallard x Tufted Duck (hybrid);Anas platyrhynchos x Aythya fuligula
Red-crested Pochard x Tufted Duck (hybrid);Netta rufina x Aythya fuligula
Common Pochard x Tufted Duck (hybrid);Aythya ferina x fuligula
Ring-necked x Tufted Duck (hybrid);Aythya collaris x fuligula
Ferruginous x Tufted Duck (hybrid);Aythya nyroca x fuligula
New Zealand Scaup;Aythya novaeseelandiae
Greater Scaup;Aythya marila
Redhead x Greater Scaup (hybrid);Aythya americana x marila
Ring-necked Duck x Greater Scaup (hybrid);Aythya collaris x marila
Tufted Duck x Greater Scaup (hybrid);Aythya fuligula x marila
Lesser Scaup;Aythya affinis
Redhead x Lesser Scaup (hybrid);Aythya americana x affinis
Ring-necked Duck x Lesser Scaup (hybrid);Aythya collaris x affinis
Tufted Duck x Lesser Scaup (hybrid);Aythya fuligula x affinis
Canvasback x scaup sp. (hybrid);Aythya valisineria x marila/affinis
Redhead x scaup sp. (hybrid);Aythya americana x marila/affinis
Ring-necked Duck x scaup sp. (hybrid);Aythya collaris x marila/affinis
Tufted Duck x scaup sp. (hybrid);Aythya fuligula x marila/affinis
Greater/Lesser Scaup;Aythya marila/affinis
Aythya sp.;Aythya sp.
Steller's Eider;Polysticta stelleri
Labrador Duck;Camptorhynchus labradorius
Spectacled Eider;Somateria fischeri
King Eider;Somateria spectabilis
Spectacled x King Eider (hybrid);Somateria fischeri x spectabilis
Common Eider;Somateria mollissima
Common Eider (Eurasian);Somateria mollissima mollissima
Common Eider (Faroe Is.);Somateria mollissima faeroeensis
Common Eider (Pacific);Somateria mollissima v-nigrum
Common Eider (Dresser's);Somateria mollissima dresseri
Common Eider (Northern);Somateria mollissima borealis
